Metric,Value,Unit
case,green_h2_social_planner,-
gamma,1.0,-
beta,0.95,-
expected_social_welfare,4.308623481535761e10,EUR
social_CVaR,-4.219719905955825e10,EUR
alpha_social,-4.219719905955825e10,EUR
social_CVaR_recomputed,-4.219719905955825e10,EUR
sum_private_CVaR,5.0392479894635725e9,EUR
risk_adjusted_objective,NaN,EUR
social_CVaR_gap_vs_SP,-5.419997381509094e8,EUR
SP_social_CVaR_benchmark,-4.165519932140734e10,EUR
