case,scenario_year,probability,social_welfare,social_loss
green_h2_social_planner,1,0.06666666666666667,4.4194005382326645e10,-4.4194005382326645e10
green_h2_social_planner,2,0.06666666666666667,4.371348603930094e10,-4.371348603930094e10
green_h2_social_planner,3,0.06666666666666667,4.32329666962643e10,-4.32329666962643e10
green_h2_social_planner,4,0.06666666666666667,4.347182730865986e10,-4.347182730865986e10
green_h2_social_planner,5,0.06666666666666667,4.287723969604328e10,-4.287723969604328e10
green_h2_social_planner,6,0.06666666666666667,4.22826520833669e10,-4.22826520833669e10
green_h2_social_planner,7,0.06666666666666667,4.329731153878034e10,-4.329731153878034e10
green_h2_social_planner,8,0.06666666666666667,4.274725529923374e10,-4.274725529923374e10
green_h2_social_planner,9,0.06666666666666667,4.219719905955825e10,-4.219719905955825e10
green_h2_social_planner,10,0.06666666666666667,4.341337748213203e10,-4.341337748213203e10
green_h2_social_planner,11,0.06666666666666667,4.28797667578936e10,-4.28797667578936e10
green_h2_social_planner,12,0.06666666666666667,4.2346156033650925e10,-4.2346156033650925e10
green_h2_social_planner,13,0.06666666666666667,4.3726246421109146e10,-4.3726246421109146e10
green_h2_social_planner,14,0.06666666666666667,4.3213426284373314e10,-4.3213426284373314e10
green_h2_social_planner,15,0.06666666666666667,4.270060614767102e10,-4.270060614767102e10
