AgentID,Group,Type,elec_net_sum,H2_net_sum,elec_GC_net_sum,H2_GC_net_sum,EP_net_sum,Capacity_Final_MW,Investment_Total_MW,Objective_Value
Gen_VRES_Solar,power,PowerGen,8.570818952069277e6,0.0,8.570818952069277e6,0.0,0.0,25880.99999999,-9.99999922286714e-9,-2.4974640954949165e10
Cons_Elec_01,power,PowerCons,-3.771333383819219e7,0.0,0.0,0.0,0.0,0.0,0.0,-6.418998081160873e11
Gen_Conv_CCGT,power,PowerGen,1.3857108074709382e7,0.0,0.0,0.0,0.0,0.0,0.0,-7.473764600130912e8
Gen_VRES_Wind,power,PowerGen,1.45022061977585e7,0.0,1.45022061977585e7,0.0,0.0,16399.85352224575,4617.85352224575,-3.6784969144542694e10
Gen_Conv_Coal,power,PowerGen,2.6024017174494974e6,0.0,0.0,0.0,0.0,0.0,0.0,-9.121056660290203e9
Gen_Conv_Biomass,power,PowerGen,2.7868094534212616e6,0.0,0.0,0.0,0.0,0.0,0.0,-1.0332109999593742e10
Prod_H2_Green,H2,H2Prod,-4.606010557215324e6,3.0706737048103064e6,-4.744196012041574e6,3.0706737048389837e6,0.0,1759.5386148138334,1226.2052814805,-6.185809762369654e9
Offtaker_Green,offtaker,Offtaker,0.0,-3.0706737048103064e6,0.0,-1.311752269381898e6,2.303005278607662e6,1319.6539611078751,919.6539611078751,-3.108583313480415e9
Offtaker_Grey,offtaker,Offtaker,0.0,0.0,0.0,-1.7589214354571523e6,2.8032347214063867e6,0.0,0.0,-1.6714829709188494e8
Offtaker_Import,offtaker,Offtaker,0.0,0.0,0.0,0.0,-1.4099782749802045e-5,0.0,0.0,-0.09379310949441892
Demand_GC_Elec_01,elec_GC_demand,GC_Demand,0.0,0.0,-1.832882913778656e7,0.0,0.0,0.0,0.0,-1.7290000922232997e9
