period,time_step,SOLAR,LOAD_E,WIND
47,1,0.0,0.537581,0.245954
47,2,0.0,0.552698,0.163036
47,3,0.0,0.570422,0.132074
47,4,0.0,0.59716,0.163036
47,5,0.0,0.627994,0.186157
47,6,0.0,0.662723,0.177247
47,7,0.0,0.693579,0.171468
47,8,0.0,0.71567,0.171468
47,9,0.0,0.723729,0.163036
47,10,0.0,0.717832,0.186157
47,11,0.038,0.692408,0.174341
47,12,0.14,0.657173,0.125
47,13,0.252,0.623209,0.085975
47,14,0.312,0.60463,0.174341
47,15,0.227,0.617597,0.174341
47,16,0.202,0.649948,0.152231
47,17,0.16,0.707156,0.089633
47,18,0.125,0.774478,0.115967
47,19,0.111,0.838369,0.089633
47,20,0.015,0.869301,0.073957
47,21,0.0,0.851596,0.060225
47,22,0.0,0.798617,0.06917
47,23,0.0,0.725674,0.097258
47,24,0.0,0.655936,0.149606
256,1,0.0,0.360261,0.624891
256,2,0.0,0.367852,0.598209
256,3,0.0,0.377833,1.0
256,4,0.0,0.393315,1.0
256,5,0.0,0.41276,1.0
256,6,0.0,0.430484,1.0
256,7,0.0,0.442356,1.0
256,8,0.0,0.45261,1.0
256,9,0.016,0.456033,1.0
256,10,0.072,0.450662,1.0
256,11,0.176,0.43801,1.0
256,12,0.318,0.42128,1.0
256,13,0.412,0.40744,1.0
256,14,0.471,0.400362,1.0
256,15,0.492,0.410077,1.0
256,16,0.45,0.430845,1.0
256,17,0.439,0.465835,1.0
256,18,0.333,0.506493,1.0
256,19,0.234,0.544904,1.0
256,20,0.091,0.562202,0.778061
256,21,0.024,0.551016,0.936575
256,22,0.0,0.520835,0.954414
256,23,0.0,0.473805,0.339383
256,24,0.0,0.432523,0.39139
258,1,0.0,0.370988,0.053388
258,2,0.0,0.379255,0.057424
258,3,0.0,0.390041,0.043559
258,4,0.0,0.407489,0.063115
258,5,0.0,0.428638,0.111619
258,6,0.0,0.451431,0.021433
258,7,0.0,0.472009,0.030292
258,8,0.0,0.485981,0.053388
258,9,0.013,0.489147,0.038075
258,10,0.11,0.477085,0.026012
258,11,0.198,0.457536,0.021433
258,12,0.283,0.435758,0.020036
258,13,0.36,0.417233,0.017426
258,14,0.428,0.407405,0.002178
258,15,0.451,0.421517,0.006038
258,16,0.29,0.441235,0.030292
258,17,0.33,0.475879,0.075601
258,18,0.326,0.519412,0.064594
258,19,0.253,0.555882,0.054712
258,20,0.137,0.575637,0.052086
258,21,0.025,0.57118,0.048307
258,22,0.0,0.539729,0.048307
258,23,0.0,0.493987,0.07896
258,24,0.0,0.447026,0.095313
270,1,0.0,0.388067,0.012906
270,2,0.0,0.397207,0.027672
270,3,0.0,0.409498,0.021433
270,4,0.0,0.4299,0.004892
270,5,0.0,0.451123,0.008453
270,6,0.0,0.472837,0.019361
270,7,0.0,0.494401,0.012906
270,8,0.0,0.51026,0.009659
