SOLAR,WIND,LOAD_E
0.183,0.702332,0.651154
0.213,0.754798,0.659708
0.184,0.459394,0.695975
0.142,0.624891,0.753668
0.069,0.432378,0.820512
0.011,0.348473,0.880788
0.0,0.25702,0.904812
0.0,0.228224,0.88739
0.0,0.180185,0.829328
0.0,0.174341,0.755306
0.0,0.201663,0.688188
0.0,0.432378,0.575317
0.0,0.411544,0.586711
0.0,0.288142,0.606179
0.0,0.228224,0.632364
0.0,0.160289,0.664958
0.0,0.120427,0.696964
0.0,0.127329,0.727751
0.0,0.198495,0.75007
0.0,0.231699,0.759351
0.0,0.163036,0.757334
0.0,0.284121,0.73714
0.024,0.330452,0.704638
0.034,0.32168,0.67856
0.043,0.280138,0.663343
0.028,0.198495,0.678249
0.022,0.154886,0.718817
0.035,0.101227,0.777583
0.032,0.075601,0.841767
0.007,0.127329,0.895276
0.0,0.204864,0.915464
0.0,0.272284,0.891687
0.0,0.284121,0.830498
0.0,0.339383,0.756371
0.0,0.353079,0.687591
0.0,0.168626,0.574135
0.0,0.136935,0.585505
0.0,0.103251,0.602888
0.0,0.127329,0.627522
0.0,0.177247,0.658402
0.0,0.242337,0.690094
0.0,0.2922,0.718156
0.0,0.25702,0.738533
0.0,0.268413,0.747698
0.0,0.296296,0.742447
0.0,0.313064,0.722633
0.026,0.330452,0.694563
0.093,0.406442,0.66804
0.115,0.540974,0.655219
0.097,0.448456,0.66997
0.095,0.547145,0.708445
0.123,0.842421,0.768081
0.053,0.73955,0.840985
0.013,0.680612,0.901572
0.0,0.585158,0.925026
0.0,0.476131,0.903042
0.0,0.448456,0.842058
0.0,0.464928,0.76775
0.0,0.443053,0.697108
0.0,0.427105,0.578776
0.0,0.687801,0.587583
0.0,0.867442,0.602977
0.0,1.0,0.625484
0.0,1.0,0.653293
0.0,1.0,0.686298
0.0,0.732004,0.717451
0.0,0.49327,0.739478
0.0,0.330452,0.747809
0.0,0.204864,0.74005
0.001,0.141914,0.72437
0.037,0.160289,0.697811
0.085,0.066097,0.669662
0.145,0.042423,0.657569
0.2,0.044716,0.667008
0.111,0.141914,0.712597
0.121,0.171468,0.771709
0.062,0.272284,0.845892
0.016,0.204864,0.906798
0.0,0.129687,0.933495
0.0,0.120427,0.914347
0.0,0.13449,0.857368
0.0,0.13941,0.784269
0.0,0.171468,0.712838
0.0,0.204864,0.595099
0.0,0.195361,0.606884
0.0,0.19226,0.625585
0.0,0.180185,0.65183
0.0,0.25702,0.681618
0.0,0.326047,0.712867
0.0,0.432378,0.742695
0.0,0.578704,0.762098
0.0,0.673473,0.768126
0.0,0.702332,0.755999
0.0,0.778061,0.734209
0.005,0.673473,0.710457
0.023,0.348473,0.687239
0.056,0.253295,0.672654
0.096,0.353079,0.680847
0.131,0.19226,0.719137
0.157,0.25702,0.779686
0.081,0.330452,0.855534
0.013,0.427105,0.919102
0.0,0.25702,0.942952
0.0,0.195361,0.922553
0.0,0.304603,0.865988
0.0,0.371906,0.788656
0.0,0.559627,0.716027
0.0,0.470508,0.596418
0.0,0.23521,0.606238
0.0,0.253295,0.625603
0.0,0.204864,0.65185
0.0,0.201663,0.682382
0.0,0.152231,0.715227
0.0,0.084184,0.744342
0.0,0.022894,0.766297
0.0,0.009659,0.7749
0.0,0.004377,0.765217
0.001,0.004377,0.74645
0.027,0.00463,0.718343
0.068,5.1e-5,0.688021
0.096,0.000313,0.674176
0.156,0.000358,0.68393
0.171,0.002178,0.721587
0.126,0.007707,0.784981
0.096,0.013423,0.857472
0.022,0.034036,0.920147
0.0,0.041307,0.948188
0.0,0.026834,0.928675
0.0,0.012906,0.874556
0.0,0.007352,0.799042
0.0,0.002338,0.724644
0.0,0.00012,0.607465
0.0,0.0,0.621486
0.0,0.000794,0.643354
0.0,0.009245,0.670305
0.0,0.042423,0.697239
0.0,0.101227,0.724562
0.0,0.165815,0.750006
0.0,0.268413,0.767109
0.0,0.421875,0.768126
0.0,0.7625,0.753491
0.001,1.0,0.736653
0.041,1.0,0.711243
0.128,0.892953,0.684193
0.19,0.680612,0.6704
0.226,0.367138,0.680847
0.228,0.376715,0.721565
0.143,0.245954,0.788472
0.097,0.157572,0.86223
0.024,0.154886,0.928269
0.0,0.228224,0.952326
0.0,0.19226,0.933725
0.0,0.118183,0.872632
0.0,0.13449,0.7947
0.0,0.189192,0.719934
0.0,0.091501,0.599601
0.0,0.157572,0.61214
0.0,0.19226,0.631679
0.0,0.19226,0.658878
0.0,0.165815,0.693458
0.0,0.13941,0.729955
0.0,0.129687,0.762934
0.0,0.129687,0.787923
0.0,0.103251,0.799275
0.0,0.06917,0.794383
0.001,0.034036,0.776498
0.056,0.011914,0.745782
0.147,0.001744,0.709263
0.219,1.0e-6,0.691374
0.252,0.0,0.701455
0.229,0.0,0.740928
0.191,0.0,0.805096
0.115,0.0,0.881284
0.028,0.0,0.951612
0.0,2.0e-6,0.994941
0.0,0.000171,0.982389
0.0,0.001156,0.920959
0.0,0.003252,0.840391
0.0,0.007352,0.762062
0.0,0.011914,0.635301
0.0,0.020727,0.647883
0.0,0.018701,0.667117
0.0,0.009659,0.695011
0.0,0.008074,0.727564
0.0,0.015053,0.761805
0.0,0.021433,0.792868
0.0,0.035017,0.815365
0.0,0.049546,0.821934
0.0,0.064594,0.813488
0.002,0.084184,0.793485
0.05,0.089633,0.761398
0.122,0.027672,0.728956
0.189,0.008453,0.713054
0.246,0.002679,0.721252
0.248,0.001744,0.760243
0.179,0.007352,0.825181
0.094,0.018056,0.90315
0.023,0.02442,0.971838
0.0,0.027672,1.0
0.0,0.028528,0.977167
0.0,0.030292,0.911333
0.0,0.02442,0.831633
0.0,0.017426,0.753356
0.0,0.008453,0.628664
0.0,0.004134,0.644431
0.0,0.000406,0.666295
0.0,2.9e-5,0.696287
0.0,6.0e-6,0.732618
0.0,0.0,0.770999
0.0,0.0,0.805695
0.0,0.0,0.828555
0.0,0.0,0.841162
0.0,0.0,0.83421
0.002,0.0,0.812048
0.058,1.5e-5,0.77146
0.136,0.000235,0.734134
0.214,0.000171,0.712155
0.256,9.9e-5,0.717276
0.239,0.000144,0.753612
0.19,0.000645,0.815349
0.109,0.008843,0.893401
0.026,0.047089,0.961455
0.0,0.064594,0.986258
