case,scenario_year,probability,social_welfare,social_loss,welfare_demand,welfare_ex_demand
social_planner,1,0.06666666666666667,4.291537139485144e10,-4.291537139485173e10,5.49014306186242e10,-1.1986059223772211e10
social_planner,2,0.06666666666666667,4.030390108311363e10,-4.030390108311383e10,5.49014306186242e10,-1.4597529535510237e10
social_planner,3,0.06666666666666667,3.7795692418098694e10,-3.779569241809871e10,5.490143061862458e10,-1.7105738200525694e10
social_planner,4,0.06666666666666667,4.2738636773099724e10,-4.27386367730996e10,5.58105067723772e10,-1.307186999927756e10
social_planner,5,0.06666666666666667,3.9510560710681496e10,-3.9510560710681435e10,5.58105067723772e10,-1.629994606169599e10
social_planner,6,0.06666666666666667,3.639868254358167e10,-3.639868254358176e10,5.581050677237799e10,-1.9411824228796326e10
social_planner,7,0.06666666666666667,4.251916653070809e10,-4.2519166530708015e10,5.5027195935742386e10,-1.2508029405033857e10
social_planner,8,0.06666666666666667,3.959255329890107e10,-3.959255329890104e10,5.5027195935742386e10,-1.5434642636841171e10
social_planner,9,0.06666666666666667,3.6776429189796196e10,-3.6776429189796036e10,5.502719593574312e10,-1.8250766745947197e10
social_planner,10,0.06666666666666667,4.256016841536669e10,-4.256016841536679e10,5.484899306991647e10,-1.2288824654549881e10
social_planner,11,0.06666666666666667,3.978767008168102e10,-3.9787670081681206e10,5.484899306991647e10,-1.5061322988235338e10
social_planner,12,0.06666666666666667,3.7123378910747635e10,-3.712337891074772e10,5.484899306991719e10,-1.7725614159169617e10
social_planner,13,0.06666666666666667,4.291124131853667e10,-4.291124131853636e10,5.496922077311793e10,-1.2057979454580965e10
social_planner,14,0.06666666666666667,4.024271776084149e10,-4.024271776084129e10,5.496922077311793e10,-1.472650301227624e10
social_planner,15,0.06666666666666667,3.767806124454013e10,-3.767806124453999e10,5.496922077311861e10,-1.729115952857864e10
