Metric,Value,Unit
case,social_planner,-
gamma,0.5,-
beta,0.6,-
expected_social_welfare,3.992361544496971e10,EUR
social_CVaR,-3.754713416957427e10,EUR
alpha_social,-3.959251524711099e10,EUR
social_CVaR_recomputed,-3.754713416957427e10,EUR
sum_private_CVaR,NaN,EUR
risk_adjusted_objective,3.873537480727199e10,EUR
social_CVaR_gap_vs_SP,0.0,EUR
SP_social_CVaR_benchmark,-3.754713416957427e10,EUR
expected_welfare_demand,5.511146943395586e10,EUR
expected_welfare_ex_demand,-1.518785398898606e10,EUR
share_demand_of_E_SW,1.380422810402049,-
welfare_ex_demand_CVaR,1.7680841487452244e10,EUR
welfare_ex_demand_min,-1.9411824228796326e10,EUR
welfare_ex_demand_spread,7.425765005024115e9,EUR
expected_welfare_group_conventional,-7.4486030253076315e9,EUR
expected_welfare_group_elec_demand,5.471185609515984e10,EUR
expected_welfare_group_gc_demand,3.9961333879601544e8,EUR
expected_welfare_group_h2_producer,-7.141897133939131e8,EUR
expected_welfare_group_offtaker_green,-2.857582368040845e8,EUR
expected_welfare_group_offtaker_grey,-1.3051427811170707e9,EUR
expected_welfare_group_offtaker_import,0.008494349027837758,EUR
expected_welfare_group_vres,-5.434160232371855e9,EUR
