AgentID,Group,Type,elec_net_sum,H2_net_sum,elec_GC_net_sum,H2_GC_net_sum,EP_net_sum,Capacity_Final_MW,Investment_Total_MW,Objective_Value
Gen_VRES_Solar,power,PowerGen,8.587298615587989e6,0.0,8.587298615587989e6,0.0,0.0,25880.99999999,-9.999999359520651e-9,-2.5124708797596157e10
Cons_Elec_01,power,PowerCons,-3.771331535324753e7,0.0,0.0,0.0,0.0,0.0,0.0,-6.408287127491356e11
Gen_Conv_CCGT,power,PowerGen,1.3997041597980661e7,0.0,0.0,0.0,0.0,0.0,0.0,-7.479233810294533e8
Gen_VRES_Wind,power,PowerGen,1.4292506555996718e7,0.0,1.4292506555996718e7,0.0,0.0,16083.59585066382,4301.59585066382,-3.7074822361305435e10
Gen_Conv_Coal,power,PowerGen,2.6314914410889084e6,0.0,0.0,0.0,0.0,0.0,0.0,-9.1972666020388e9
Gen_Conv_Biomass,power,PowerGen,2.8121543458170635e6,0.0,0.0,0.0,0.0,0.0,0.0,-1.04203549882269e10
Prod_H2_Green,H2,H2Prod,-4.6071772032234445e6,3.071451468815583e6,-4.720221992636104e6,3.0714514688444617e6,0.0,1750.8825114354167,1217.5491781020835,-7.57400281561912e9
Offtaker_Green,offtaker,Offtaker,0.0,-3.071451468815583e6,0.0,-1.3098478525574573e6,2.303588601611722e6,1313.1618835740626,913.1618835740626,-3.0471304117480793e9
Offtaker_Grey,offtaker,Offtaker,0.0,0.0,0.0,-1.7616036162869753e6,2.8026513983994257e6,0.0,0.0,-1.6727061418127656e8
Offtaker_Import,offtaker,Offtaker,0.0,0.0,0.0,0.0,-1.1119843995550385e-5,0.0,0.0,-0.09134636968832716
Demand_GC_Elec_01,elec_GC_demand,GC_Demand,0.0,0.0,-1.815958317894878e7,0.0,0.0,0.0,0.0,-1.6950985300615911e9
