Agent,Type,CVaR_private,alpha_private
Gen_VRES_Solar,VRES,8.630975833418854e8,2.5411349459362918e8
Gen_VRES_Wind,VRES,2.0547699994000554e7,-8.196158900619406e8
Prod_H2_Green,GreenProducer,2.151501605206777e7,-2.1873508126177415e8
Offtaker_Green,GreenOfftaker,3.345312613675628e7,-1.9038176758473286e8
