case,scenario_year,probability,social_welfare,social_loss,welfare_demand,welfare_ex_demand
market_exposure,1,0.06666666666666667,4.3197364897144035e10,-4.3197364897144035e10,5.485357039047039e10,-1.1656205493326355e10
market_exposure,2,0.06666666666666667,4.024061149143279e10,-4.024061149143279e10,5.485428374903025e10,-1.4613672257597454e10
market_exposure,3,0.06666666666666667,3.739107393484374e10,-3.739107393484374e10,5.4852552952040016e10,-1.7461479017196274e10
market_exposure,4,0.06666666666666667,4.318317581179772e10,-4.318317581179772e10,5.576649835591888e10,-1.2583322544121153e10
market_exposure,5,0.06666666666666667,3.963724122716252e10,-3.963724122716252e10,5.576774710249128e10,-1.6130505875328749e10
market_exposure,6,0.06666666666666667,3.6201990860172104e10,-3.6201990860172104e10,5.5767787856144035e10,-1.956579699597193e10
market_exposure,7,0.06666666666666667,4.2893402439884605e10,-4.2893402439884605e10,5.498234163219249e10,-1.2088939192307886e10
market_exposure,8,0.06666666666666667,3.963279826466555e10,-3.963279826466555e10,5.498312092494644e10,-1.5350322660280891e10
market_exposure,9,0.06666666666666667,3.648189609919199e10,-3.648189609919199e10,5.498181351422837e10,-1.8499917415036377e10
market_exposure,10,0.06666666666666667,4.293624995073078e10,-4.293624995073078e10,5.4801629978138176e10,-1.1865380027407398e10
market_exposure,11,0.06666666666666667,3.9812953604743515e10,-3.9812953604743515e10,5.480269755739233e10,-1.4989743952648817e10
market_exposure,12,0.06666666666666667,3.6794054516440575e10,-3.6794054516440575e10,5.480097895739852e10,-1.8006924440957943e10
market_exposure,13,0.06666666666666667,4.325712140831785e10,-4.325712140831785e10,5.4924948596765526e10,-1.1667827188447683e10
market_exposure,14,0.06666666666666667,4.021772360601813e10,-4.021772360601813e10,5.492582392945744e10,-1.4708100323439322e10
market_exposure,15,0.06666666666666667,3.727863030237422e10,-3.727863030237422e10,5.492475450998957e10,-1.7646124207615353e10
