iter,AgentID,jy,x_cap,z_cap,lambda_cap,rho_cap,primal_local,dual_local
1,Gen_VRES_Solar,1,58.30191440875182,74.48561257423191,0.0,0.1,51.17734702525799,Inf
1,Gen_VRES_Solar,2,58.301914408759615,74.48561256423204,0.0,0.1,51.17734702525799,Inf
1,Gen_VRES_Solar,3,58.301914408763125,74.4856125542321,0.0,0.1,51.17734702525799,Inf
1,Gen_VRES_Solar,4,58.30191440876514,74.48561254423214,0.0,0.1,51.17734702525799,Inf
1,Gen_VRES_Solar,5,58.301914408765974,74.48561253423216,0.0,0.1,51.17734702525799,Inf
1,Gen_VRES_Solar,6,58.30191440876762,74.4856125242322,0.0,0.1,51.17734702525799,Inf
1,Gen_VRES_Solar,7,58.30191440876931,74.48561251423226,0.0,0.1,51.17734702525799,Inf
1,Gen_VRES_Solar,8,58.30191440876866,74.4856125042323,0.0,0.1,51.17734702525799,Inf
1,Gen_VRES_Solar,9,58.30191440877452,74.48561249423237,0.0,0.1,51.17734702525799,Inf
1,Gen_VRES_Solar,10,58.30191440877812,74.48561248423243,0.0,0.1,51.17734702525799,Inf
2,Gen_VRES_Solar,1,56.097089861863026,58.301914408734746,-1.618369816548009,0.1,6.972267408992099,5.117734702530933
2,Gen_VRES_Solar,2,56.09708986188937,58.30191440874242,-1.6183698155472428,0.1,6.972267408992099,5.117734702530933
2,Gen_VRES_Solar,3,56.09708986189901,58.30191440874672,-1.618369814546898,0.1,6.972267408992099,5.117734702530933
2,Gen_VRES_Solar,4,56.09708986190355,58.301914408748225,-1.6183698135466997,0.1,6.972267408992099,5.117734702530933
2,Gen_VRES_Solar,5,56.097089861907094,58.301914408748225,-1.6183698125466188,0.1,6.972267408992099,5.117734702530933
2,Gen_VRES_Solar,6,56.09708986191693,58.301914408748225,-1.6183698115464573,0.1,6.972267408992099,5.117734702530933
2,Gen_VRES_Solar,7,56.09708986197166,58.30191440875824,-1.6183698105462945,0.1,6.972267408992099,5.117734702530933
2,Gen_VRES_Solar,8,56.097089861974084,58.30191440875824,-1.6183698095463634,0.1,6.972267408992099,5.117734702530933
2,Gen_VRES_Solar,9,56.09708986199597,58.30191440875824,-1.618369808545785,0.1,6.972267408992099,5.117734702530933
2,Gen_VRES_Solar,10,56.097089862005056,58.30191440875824,-1.6183698075454318,0.1,6.972267408992099,5.117734702530933
3,Gen_VRES_Solar,1,56.30301451642123,56.09708986183486,-1.838852271235181,0.10500000000000001,0.6511909350511795,0.732088077953626
3,Gen_VRES_Solar,2,56.30301451649392,56.09708986186113,-1.8388522702325476,0.10500000000000001,0.6511909350511795,0.732088077953626
3,Gen_VRES_Solar,3,56.30301451652144,56.09708986187204,-1.8388522692316691,0.10500000000000001,0.6511909350511795,0.732088077953626
3,Gen_VRES_Solar,4,56.30301451653477,56.09708986187579,-1.8388522682311674,0.10500000000000001,0.6511909350511795,0.732088077953626
3,Gen_VRES_Solar,5,56.303014516543115,56.09708986187619,-1.838852267230732,0.10500000000000001,0.6511909350511795,0.732088077953626
3,Gen_VRES_Solar,6,56.303014516554846,56.097089861880924,-1.838852266229587,0.10500000000000001,0.6511909350511795,0.732088077953626
3,Gen_VRES_Solar,7,56.30301451657075,56.097089861953265,-1.8388522652249528,0.10500000000000001,0.6511909350511795,0.732088077953626
3,Gen_VRES_Solar,8,56.30301451657706,56.097089861953265,-1.8388522642247795,0.10500000000000001,0.6511909350511795,0.732088077953626
3,Gen_VRES_Solar,9,56.30301451660131,56.09708986196409,-1.8388522632220123,0.10500000000000001,0.6511909350511795,0.732088077953626
3,Gen_VRES_Solar,10,56.30301451663904,56.097089861969415,-1.8388522622207506,0.10500000000000001,0.6511909350511795,0.732088077953626
4,Gen_VRES_Solar,1,54.74440920566535,56.30301451630875,-1.8172301825036121,0.10500000000000001,4.9287427552041825,0.06837504814461944
4,Gen_VRES_Solar,2,54.74440920567751,56.30301451638182,-1.8172301814961047,0.10500000000000001,4.9287427552041825,0.06837504814461944
4,Gen_VRES_Solar,3,54.7444092056822,56.303014516414386,-1.817230180493482,0.10500000000000001,4.9287427552041825,0.06837504814461944
4,Gen_VRES_Solar,4,54.74440920568455,56.30301451642472,-1.8172301794919739,0.10500000000000001,4.9287427552041825,0.06837504814461944
4,Gen_VRES_Solar,5,54.74440920568611,56.30301451642472,-1.817230178490705,0.10500000000000001,4.9287427552041825,0.06837504814461944
4,Gen_VRES_Solar,6,54.744409205688555,56.30301451642472,-1.817230177488825,0.10500000000000001,4.9287427552041825,0.06837504814461944
4,Gen_VRES_Solar,7,54.74440920569176,56.3030145164903,-1.817230176490117,0.10500000000000001,4.9287427552041825,0.06837504814461944
4,Gen_VRES_Solar,8,54.74440920569316,56.30301451650375,-1.8172301754892812,0.10500000000000001,4.9287427552041825,0.06837504814461944
4,Gen_VRES_Solar,9,54.74440920570174,56.30301451650375,-1.8172301744851047,0.10500000000000001,4.9287427552041825,0.06837504814461944
4,Gen_VRES_Solar,10,54.74440920571079,56.30301451650375,-1.8172301734804401,0.10500000000000001,4.9287427552041825,0.06837504814461944
5,Gen_VRES_Solar,1,55.150213967937546,54.74440920564389,-1.9808837401211692,0.11025000000000001,1.2832673341898362,0.5433938887686642
5,Gen_VRES_Solar,2,55.15021396794976,54.74440920565627,-1.980883739120057,0.11025000000000001,1.2832673341898362,0.5433938887686642
5,Gen_VRES_Solar,3,55.150213967954365,54.74440920566194,-1.9808837381203612,0.11025000000000001,1.2832673341898362,0.5433938887686642
5,Gen_VRES_Solar,4,55.150213967956645,54.744409205663736,-1.9808837371196917,0.11025000000000001,1.2832673341898362,0.5433938887686642
5,Gen_VRES_Solar,5,55.1502139679581,54.744409205663736,-1.9808837361182587,0.11025000000000001,1.2832673341898362,0.5433938887686642
5,Gen_VRES_Solar,6,55.150213967960845,54.744409205663736,-1.9808837351161221,0.11025000000000001,1.2832673341898362,0.5433938887686642
5,Gen_VRES_Solar,7,55.150213967964305,54.74440920567622,-1.9808837341239638,0.11025000000000001,1.2832673341898362,0.5433938887686642
5,Gen_VRES_Solar,8,55.15021396796591,54.74440920567781,-1.9808837331243934,0.11025000000000001,1.2832673341898362,0.5433938887686642
5,Gen_VRES_Solar,9,55.150213967974146,54.74440920567781,-1.9808837321193156,0.11025000000000001,1.2832673341898362,0.5433938887686642
5,Gen_VRES_Solar,10,55.150213967980115,54.74440920568424,-1.9808837311137013,0.11025000000000001,1.2832673341898362,0.5433938887686642
6,Gen_VRES_Solar,1,58.27173729021039,55.1502139679141,-1.9361437650782936,0.11576250000000002,9.871123468054579,0.1485542347657447
6,Gen_VRES_Solar,2,58.271737290266884,55.1502139679268,-1.9361437640771997,0.11576250000000002,9.871123468054579,0.1485542347657447
6,Gen_VRES_Solar,3,58.27173729028754,55.15021396793235,-1.9361437630776213,0.11576250000000002,9.871123468054579,0.1485542347657447
6,Gen_VRES_Solar,4,58.27173729029818,55.150213967934135,-1.9361437620768984,0.11576250000000002,9.871123468054579,0.1485542347657447
6,Gen_VRES_Solar,5,58.2717372903053,55.150213967934135,-1.936143761075305,0.11576250000000002,9.871123468054579,0.1485542347657447
6,Gen_VRES_Solar,6,58.271737290316,55.150213967934135,-1.936143760072866,0.11576250000000002,9.871123468054579,0.1485542347657447
6,Gen_VRES_Solar,7,58.27173729033078,55.150213967947934,-1.9361437590817023,0.11576250000000002,9.871123468054579,0.1485542347657447
6,Gen_VRES_Solar,8,58.271737290336574,55.150213967949504,-1.9361437580821304,0.11576250000000002,9.871123468054579,0.1485542347657447
6,Gen_VRES_Solar,9,58.27173729039158,55.150213967949504,-1.9361437570761446,0.11576250000000002,9.871123468054579,0.1485542347657447
6,Gen_VRES_Solar,10,58.2717372904217,55.150213967949504,-1.9361437560705814,0.11576250000000002,9.871123468054579,0.1485542347657447
7,Gen_VRES_Solar,1,63.21070995637412,58.271737290107374,-1.574788421480969,0.12155062500000002,15.618402926488894,1.1998412269560752
7,Gen_VRES_Solar,2,63.21070995639053,58.2717372901673,-1.574788420474806,0.12155062500000002,15.618402926488894,1.1998412269560752
7,Gen_VRES_Solar,3,63.21070995639647,58.27173729019116,-1.574788419473479,0.12155062500000002,15.618402926488894,1.1998412269560752
7,Gen_VRES_Solar,4,63.210709956399604,58.27173729020023,-1.5747884184717311,0.12155062500000002,15.618402926488894,1.1998412269560752
7,Gen_VRES_Solar,5,63.21070995640176,58.27173729020023,-1.5747884174693125,0.12155062500000002,15.618402926488894,1.1998412269560752
7,Gen_VRES_Solar,6,63.210709956404884,58.27173729020023,-1.5747884164656356,0.12155062500000002,15.618402926488894,1.1998412269560752
7,Gen_VRES_Solar,7,63.21070995640904,58.27173729025997,-1.5747884154743577,0.12155062500000002,15.618402926488894,1.1998412269560752
7,Gen_VRES_Solar,8,63.21070995641102,58.271737290268234,-1.5747884144742972,0.12155062500000002,15.618402926488894,1.1998412269560752
7,Gen_VRES_Solar,9,63.21070995645865,58.27173729028914,-1.574788413461944,0.12155062500000002,15.618402926488894,1.1998412269560752
7,Gen_VRES_Solar,10,63.21070995647119,58.27173729028914,-1.5747884124528941,0.12155062500000002,15.618402926488894,1.1998412269560752
8,Gen_VRES_Solar,1,69.17862727992646,63.210709956344324,-0.9744532070383299,0.12762815625000004,18.872211630427444,1.993347969065912
8,Gen_VRES_Solar,2,69.17862727994655,63.21070995636204,-0.9744532060374559,0.12762815625000004,18.872211630427444,1.993347969065912
8,Gen_VRES_Solar,3,69.17862727995411,63.2107099563686,-0.9744532050383071,0.12762815625000004,18.872211630427444,1.993347969065912
8,Gen_VRES_Solar,4,69.1786272799582,63.21070995637147,-0.9744532040372804,0.12762815625000004,18.872211630427444,1.993347969065912
8,Gen_VRES_Solar,5,69.17862727996105,63.21070995637147,-0.9744532030346001,0.12762815625000004,18.872211630427444,1.993347969065912
8,Gen_VRES_Solar,6,69.17862727996514,63.21070995637147,-0.9744532020305432,0.12762815625000004,18.872211630427444,1.993347969065912
8,Gen_VRES_Solar,7,69.17862727997014,63.21070995638732,-0.9744532010460217,0.12762815625000004,18.872211630427444,1.993347969065912
