iter,elec_primal,elec_dual,H2_primal,H2_dual,elec_GC_primal,elec_GC_dual,H2_GC_primal,H2_GC_dual,EP_primal,EP_dual,cap_primal,cap_dual,cap_primal_Gen_VRES_Solar,cap_dual_Gen_VRES_Solar,cap_primal_Gen_VRES_Wind,cap_dual_Gen_VRES_Wind,cap_primal_Prod_H2_Green,cap_dual_Prod_H2_Green,cap_primal_Offtaker_Green,cap_dual_Offtaker_Green
1,453.45703174629597,Inf,179.77533727093385,Inf,577.6109701853192,Inf,204.2740277087082,Inf,523.9274921963372,Inf,94.30040904590032,Inf,51.17734702525799,Inf,76.92384417647317,Inf,18.872426839018676,Inf,1.9652479260219538e-7,Inf
2,304.4017075086784,338.14269006489536,617.0880494888318,79.18927329047187,504.6486808082808,104.71743640645863,167.00793467863156,118.11994473306532,220.59787967521265,497.2354939257475,29.08155385284477,9.430040904606027,6.972267408992099,5.117734702530933,24.586641677448945,7.692384417662396,13.878808043133516,1.8872426839064014,2.0028671160939182e-10,1.9621411848817897e-8
3,127.41514530443759,230.40060856965047,818.200084704257,42.20831253046938,472.9890827259349,95.71325151265621,352.6703189012823,76.88314576493495,98.36326415831161,465.0741011931346,18.922716518737992,3.0535631545678807,0.6511909350511795,0.732088077953626,17.31634945969823,2.581597376138747,3.3992171701761418,1.4572748445527521,6.799596667024842,0.0
4,152.7625809921517,142.6038867663579,734.6586362025236,34.905182558744855,412.0946232529854,80.66473118287404,301.8461456749365,70.84521175071659,61.94898929605586,289.1155351652844,15.257758735263701,2.0735540544306423,4.9287427552041825,0.06837504814461944,13.368291325641497,1.9091275279413935,1.0179830333354138,0.37476369301237017,5.362759928726776,0.7139576499296649
5,157.3261268565881,80.63124117117776,650.9247749877192,22.491622424901074,335.4992617211447,81.33110445555722,242.3156360675216,39.50298601739129,125.17979225390702,172.65554229173452,3.753339333636093,1.7474653540573633,1.2832673341898362,0.5433938887686642,2.2867124246578707,1.5475468245865718,1.2567837923467475,0.11784426089673607,2.3732302645615726,0.5912442821418359
6,129.15611320217602,112.43658842471558,542.011330464232,27.16572273183287,294.03205002569894,76.97162225561887,186.00228970145918,67.180064068693,129.13426942539968,238.07435983977666,18.842881772532934,0.4451280146135359,9.871123468054579,0.1485542347657447,15.902105312821003,0.27795132440979786,2.1767318603874988,0.15276285544804472,2.381485528270052e-11,0.27473106846724005
7,114.59321047816614,167.7567605647666,399.3700093759045,25.20443195930199,281.1297689991413,73.01619265620913,145.03624520299417,111.15254215865122,110.60428765045945,333.6525289037334,28.608535083310908,2.374004577773316,15.618402926488894,1.1998412269560752,23.754605468190558,2.0295563815297837,3.1988261424287026,0.27781227398538666,3.9440306535443664e-12,0.0
8,127.46043624876778,189.91534636281392,228.8281729041778,29.89518461996751,231.10677016922438,77.96120980364852,95.92428320860174,142.30127637095697,65.975762725718,404.9605792911975,33.885720079745155,3.780327763792273,18.872211630427444,1.993347969065912,27.627032857909942,3.1833443232684298,5.369237279834798,0.42867329685222694,7.204167533929908e-12,0.0
9,144.25648594349087,190.55885950933944,136.88732030023738,31.738156268243813,143.02776294099257,88.97509678602962,46.40631439198473,148.12509060750915,48.08218791298812,418.72601941208535,34.59085229065053,4.698808734037905,19.04646887132174,2.529056853471852,28.05964653554181,3.8874009611087597,6.812879129107747,0.7555056045779159,3.507879701591243e-11,0.0
10,145.20740959333295,170.84229679220908,241.27660564241842,31.891319479074603,86.99196315338028,87.40894967960841,32.7543712010502,136.19722098425757,65.86905213065873,387.9919107496475,29.844362569248897,5.03810212370516,15.977716375696327,2.6800294398513658,24.219540523147387,4.145687752445313,6.986588110817149,1.0065725357058746,1.9376035627571485e-11,0.0
11,136.51273144396527,143.3570591877114,365.5393268416599,28.743432122420504,72.8549241093936,75.06610583686458,59.66427658600092,105.39292744413372,92.21339406763087,319.0003816586205,21.51651257506361,4.567737744682953,10.817121373376523,2.360636403828155,17.626846710409485,3.757245659135418,5.936705621322118,1.0838491269686215,2.3208929766882412e-12,0.0
12,135.28127512593372,112.72873611187197,458.01984923468945,25.690737958607876,58.908967063165825,60.44891498176285,88.9029642169957,74.60755663926854,103.81615787420492,227.42455933734763,13.037820889161834,3.4633909118258828,5.795839004437289,1.678090560165099,10.739326069285275,2.871227589356927,4.5891065960683175,0.9670267887284772,7.331341245685574e-12,0.0
13,149.87323746628877,77.34849258595486,509.87581232089997,22.242802155020957,57.19469173524604,45.588724916565454,113.82862103627339,46.8422307197705,96.86053560527324,147.2498571997674,5.959671306677009,2.2093303679064795,1.8750144823655484,0.9440811011842669,4.940337676387547,1.8367892055456059,2.7559148059790237,0.784892962977516,4.5443374352338076e-12,0.0
14,160.06820475332023,51.29371035517698,525.0073067910687,19.98834820140229,50.55239391158353,30.956168947075316,124.23168782475737,31.540029422395943,81.63288083411814,113.60874681467985,2.138297095823944,1.0653353271618287,0.2693274248198787,0.32069110662219524,1.2683183399598756,0.8872136668784473,1.700336965654288,0.49492270379982756,2.4682821854951203e-12,0.0
15,158.78391369486718,41.79091150322063,508.9034413371211,19.246135047190737,52.070483073541666,26.09229439796048,123.30252979698956,40.13915600353691,64.71251157731095,130.5977937251212,2.7596102762417,0.40264035217394417,2.128029513274898,0.04606412948905045,1.5348216249300406,0.23916033895486793,0.8551384958104182,0.32062389406306957,2.5810996677768963e-12,0.0
16,144.48140457077594,51.8445240126725,454.64596485328764,21.81737640293518,59.13075643557774,30.077665260766313,104.03779921622301,51.55841497573844,63.65885304097451,154.4657315352626,5.8544061591316465,0.5167794177189267,4.135540083945568,0.3821635263521092,4.1437893134983925,0.30388418347139246,0.019743745707576203,0.1693115729652248,2.765494946642828e-12,0.0
17,120.19145888177975,68.13531638309689,376.47719250695167,26.59990490260713,63.40985330702051,38.29466555824208,77.03763080973305,62.34122699563034,67.51856441857082,184.91480270567425,8.607998907222125,1.1620025339748412,5.760050254627023,0.7798177612364791,6.362730409895165,0.8614640373578621,0.6596423136092511,0.0037229777288414674,2.0799729766243614e-9,0.0
18,91.45184589927672,81.78520286815059,290.3175414482355,27.88348678266361,65.91887211427218,48.16427983013253,53.91848312034163,75.84031431832831,64.39617365477886,209.3276419079481,9.436276483461194,1.8018712665886836,6.424074085876247,1.1404505513512242,6.843676907487573,1.3889042524486301,0.9688510708139665,0.13060466611384036,3.588963141659522e-10,0.0
19,63.630307544295064,86.09380018238313,200.4187719629942,27.66710152231222,57.69596160297261,52.41914923968513,37.02145427463939,78.63242186737293,51.86185920671569,231.69653944099878,10.855702300495139,2.0699355144413594,6.580384215995772,1.3355188643861589,8.479568255799599,1.568583283318111,1.625342487626807,0.20141717928045588,7.3117175380526e-11,0.0
20,49.26091471914967,84.46511089548946,123.98235163479163,27.37621765705639,46.690234328827714,54.94182293463397,25.61108029256453,79.210301922761,37.4812155986574,244.734640351081,10.415899641989027,2.5206468209103683,6.120284061491314,1.436415348712945,8.175348523237457,2.0407092058045384,2.048600713228826,0.354791881378402,1.0077219237553596e-10,0.0
21,54.849827560747705,78.28239847685226,108.05147922382719,26.257168561025434,43.2632860185231,53.917796893483676,24.448814919619117,75.23484270507214,33.680890299719415,242.66479179167024,8.682034613180273,2.5408820398268452,5.2471426912866885,1.4027803179665848,6.550463684018201,2.0658698548339536,2.221856009307466,0.46954303607713826,7.517519604052332e-11,0.0
22,68.22972017222023,65.87958391030864,158.39870732577444,23.916854820599116,47.29379014323017,46.98325731380155,32.06259048946634,67.46685417957006,49.9916750245642,225.47294307850777,7.699154273856334,2.213890760753955,4.327627525706578,1.2627874523418374,6.030097725173687,1.7380330260599108,2.0461031147628286,0.534716140662283,1.5707305014372302e-10,0.0
23,79.31755923417958,49.85151691273262,215.07686655368332,20.378496159697367,55.73035195760428,37.33757153330524,42.47479635417928,56.19576443010189,75.47997242406437,192.32280023096268,6.1917555750325,2.0701449636922566,2.958029462228465,1.0935699221673878,5.1926412086682605,1.679962667908187,1.619992617135847,0.5170400665964247,2.0691882285418537e-10,0.0
24,87.23863310376609,34.74236737916329,260.68030737727895,18.755383646113195,57.73490554041116,28.768630691788285,50.476498587917575,43.095352622354724,96.7339255152912,153.2662433537725,3.978098818369521,1.7629689755017368,1.761157882631817,0.7848532784206796,3.4163107425211368,1.5189829360978284,1.0258723271886592,0.4298322693534951,3.4683131855932467e-10,0.0
