Time;Elec_Price;H2_Price;Elec_GC_Price;H2_GC_Price;EP_Price
1;60.57802659;70.21768893;20.61104076;45.87055363;127.1529202
2;60.57802659;70.21768893;20.61104076;45.87055366;127.1529202
3;60.57802659;70.21768894;20.61721577;45.87055366;127.1529202
4;60.57802659;70.21768894;20.61721577;45.87055366;127.1529202
5;60.57802659;70.21768893;20.61104076;45.87055366;127.1529202
6;60.57802662;70.2176889;20.61104076;45.87055349;127.1529203
7;58.7875347;71.19930706;14.06328575;49.44051331;126.8947319
8;56.6505106;71.82730279;6.307738662;50.4565722;126.7395153
9;51.70055066;74.37380322;-4.893212849;59.22505807;126.0101409
10;43.44509847;78.72558273;-10.54684039;78.49348222;121.816175
11;42.60115026;76.46719185;-13.78331295;70.47192206;121.066148
12;44.93758294;70.40225704;-15.26174457;51.36290705;123.6923966
13;43.33467364;74.76038623;-13.0842896;65.92136444;121.1799923
14;44.17925882;77.52931847;-9.148793684;73.81061927;121.2501815
15;51.70055066;74.37380322;-3.59506147;59.22505807;126.0101409
16;56.6505106;71.82730279;6.307738662;50.4565722;126.7395153
17;58.7875347;71.19930707;14.06328575;49.44051331;126.8947319
18;328.3288194;472.3585116;20.61104076;46.87346151;663.2488303
19;81.44208548;102.1301219;20.61104076;46.86703586;169.5750718
20;60.57804496;70.21771003;20.61104076;45.87044944;127.1530223
21;60.57802663;70.21768889;20.61104076;45.87055341;127.1529204
22;60.57802659;70.21768894;20.61104076;45.87055367;127.1529201
23;60.57802662;70.2176889;20.61104076;45.87055349;127.1529203
24;60.57802659;70.21768893;20.61104076;45.87055363;127.1529202
25;60.57802659;70.21768893;20.61731691;45.87055364;127.1529202
26;60.57802659;70.21768893;20.63051165;45.87055364;127.1529202
27;60.57802659;70.21768893;20.65030423;45.87055365;127.1529201
28;60.57802659;70.21768893;20.65030423;45.87055365;127.1529201
29;60.57802659;70.21768893;20.61731691;45.87055364;127.1529202
30;58.78753452;71.19930712;14.06796729;49.44051322;126.8947318
31;56.65051059;71.8273028;6.405805216;50.45657221;126.7395153
32;51.70055066;74.37380322;-2.896038116;59.22505808;126.0101409
33;41.95635713;78.86753816;-10.62722528;79.17909682;120.7463058
34;-15.12043824;26.1299909;39.94171166;45.21118557;124.9564
35;-15.19067554;26.18767133;39.40753068;45.21118557;124.9564
36;-15.26088111;26.24535127;38.87333378;45.21118557;124.9564
37;-15.37318606;26.33187117;38.07443063;45.21118557;124.9564
38;-15.49177659;26.41839107;37.27769225;45.21118557;124.9564
39;43.84320373;76.29586302;-9.229178577;69.80961373;121.1175107
40;51.70055066;74.37380322;-2.896038116;59.22505808;126.0101409
41;56.65051059;71.8273028;6.307738662;50.45657221;126.7395153
42;58.78753443;71.19930692;14.06328575;49.44051337;126.8947327
43;60.57802669;70.21768866;20.61114332;45.87055287;127.1529208
44;60.57802659;70.21768893;20.61114332;45.87055364;127.1529202
45;60.57802659;70.21768893;20.61114332;45.87055365;127.1529201
46;60.57802666;70.21768873;20.61114332;45.87055311;127.1529206
47;60.57802659;70.21768892;20.61114332;45.87055363;127.1529202
48;60.57802659;70.21768893;20.61114332;45.87055363;127.1529202
49;60.57802659;70.21768894;20.68320212;45.87055367;127.1529201
50;60.57802659;70.21768894;20.69639972;45.87055367;127.1529201
51;60.57802659;70.21768894;20.71619615;45.87055367;127.1529201
52;60.57802659;70.21768894;20.71619615;45.87055367;127.1529201
53;58.78753471;71.19930707;14.50832049;49.44051331;126.8947319
54;56.6505106;71.82730279;7.201408562;50.4565722;126.7395153
55;51.70055066;74.37380322;-0.099944699;59.22505807;126.0101409
56;44.53971293;74.58525867;-8.530155222;65.38260477;121.2518676
57;-15.57059902;-1.967068514;36.74643896;45.21118596;124.9564005
58;-15.37318606;-1.361593757;38.07443063;45.21118596;124.9564005
59;-15.19067554;-0.680215398;39.40753068;45.21118596;124.9564005
60;-15.01508234;0.0011639;40.74298315;45.21118596;124.9564005
61;-15.12043824;9.536375488;39.94171166;45.21118596;124.9564006
62;-15.19067554;26.18767127;39.40753068;45.21118596;124.9564005
63;-15.26088111;-0.952767104;38.87333378;45.21118596;124.9564005
64;42.83318529;77.6271024;-9.92820193;74.86355429;120.821811
