iter,elec_rho,elec_price_mean,elec_imb_mean,H2_rho,H2_price_mean,H2_imb_mean,elec_GC_rho,elec_GC_price_mean,elec_GC_imb_mean,H2_GC_rho,H2_GC_price_mean,H2_GC_imb_mean,EP_rho,EP_price_mean,EP_imb_mean,cap_rho_Gen_VRES_Solar,cap_rho_Gen_VRES_Wind,cap_rho_Prod_H2_Green,cap_rho_Offtaker_Green
1,1.0,13.015357496778574,-4.45439788285868,0.5,38.72248753135826,-3.0976897411281317,0.3,17.80745016759341,-9.614446726193945,1.0,16.240306259979278,3.992032602484416,3.0,96.88491711043905,-10.941377405464326,0.1,0.1,0.1,0.1
2,1.0,13.371918590070683,-0.3565610932921103,0.5,45.495243316663135,-13.545511570609793,0.3,19.873935803073778,-6.888285451601233,1.0,19.833574324081123,-3.5932680641018435,3.0,109.97336431038032,-4.362815733313748,0.1,0.1,0.1,0.1
3,1.0,13.792370226911048,-0.4204516368403636,0.505,53.06606933010311,-17.637334917740205,0.315,21.742760451783045,-5.932776662569096,1.05,26.743284587185567,-7.741972283590417,2.9702970297029703,106.02262828327157,1.3300811291266033,0.10500000000000001,0.10500000000000001,0.10500000000000001,0.1
4,0.9523809523809523,16.23160413332369,-2.561195601733276,0.51005,60.090384749585,-15.73023108053959,0.33075000000000004,24.087552599151902,-7.089318661735027,1.1025,33.24496167741401,-6.735822707313029,2.9408881482207625,106.74357710657772,-0.24514663155155045,0.10500000000000001,0.11025000000000001,0.11025000000000001,0.10500000000000001
5,0.9523809523809523,18.175640653205345,-2.40145687750087,0.5151505,66.51564612814876,-13.83130946952695,0.3472875000000001,26.246825368133113,-6.217536677770451,1.1576250000000001,38.821031543957346,-5.3415455276690995,2.9117704437829333,112.70021832093592,-2.045711133264813,0.11025000000000001,0.11576250000000002,0.11576250000000002,0.11025000000000001
6,1.0,19.023056408318038,-0.967922050385708,0.520302005,71.9927326263815,-11.333485684323554,0.3646518750000001,27.888532275192095,-4.502121117734498,1.2155062500000002,43.54797241749941,-4.186897932859667,2.8829410334484487,119.45147883818257,-2.755054418353529,0.11576250000000002,0.12155062500000002,0.12155062500000002,0.11576250000000002
7,1.0,18.89617945748684,0.17049343344132167,0.52550502505,76.0580794154219,-8.086356810103204,0.38288446875000015,29.093444199092367,-3.1469334022190605,1.2762815625000004,47.506970054724654,-3.242432342016008,2.854397062820246,123.9953374453199,-2.2032946077669027,0.12155062500000002,0.12762815625000004,0.12762815625000004,0.11025000000000001
8,0.9523809523809523,18.43634157864241,0.7633083976320499,0.5307600753005,78.13635548215443,-3.9737445022180227,0.4020286921875002,30.041363041311538,-2.3578387827530234,1.3400956406250004,50.12354349201875,-2.040935638323131,2.8261357057626197,126.36267427158819,-1.3639871059602757,0.12762815625000004,0.13400956406250006,0.13400956406250006,0.11576250000000002
9,0.9070294784580498,17.767888504612976,1.1650793936711517,0.5360676760535049,77.89226994174854,0.45532598085910936,0.4221301267968752,30.757751596422867,-1.6970799041217342,1.2762815625000004,50.84537085640992,-0.6955047437638713,2.7981541641214056,127.15409840803632,-0.5418286308492839,0.13400956406250006,0.14071004226562506,0.14071004226562506,0.12155062500000002
10,0.863837598531476,16.915119137018657,1.5151940711141383,0.54142835281404,75.87643620542185,4.380208552497723,0.443236633136719,31.12898671955143,-0.8375551463365721,1.2155062500000002,50.50352459299462,0.3357760114010532,2.770449667446936,126.56826783939647,0.39328631741965725,0.14071004226562506,0.14774554437890633,0.14774554437890633,0.12762815625000004
11,0.863837598531476,15.817459206472735,1.8935084902099328,0.5468426363421804,72.98210379236444,7.325684124143349,0.443236633136719,31.209454796468048,-0.1815465394797423,1.1576250000000001,49.36448615261864,1.1405367514070748,2.743019472719739,124.66055689632358,1.255837733625285,0.14774554437890633,0.15513282159785166,0.15513282159785166,0.13400956406250006
12,0.863837598531476,14.532163001288552,2.152610461321756,0.5523110627056023,69.84415023134018,9.251368770942914,0.443236633136719,31.13941862075242,0.15801080163433595,1.1025,47.55679614515167,1.845214823449807,2.7158608640789494,121.9449687601572,1.752947901361929,0.15513282159785166,0.16288946267774426,0.16288946267774426,0.14071004226562506
13,0.9070294784580498,13.312923910783095,2.287930747189009,0.5578341733326583,66.8953672477761,10.126561227883421,0.443236633136719,31.053019010903117,0.19492885603308263,1.1025,45.537529103185,2.4249221954374325,2.6889711525534152,119.00944213363466,1.8581265087538132,0.16288946267774426,0.17103393581163148,0.17103393581163148,0.14774554437890633
14,0.9523809523809523,12.247000380638914,2.2411546247415206,0.5634125150659849,64.3519525474227,10.174101331530164,0.465398464793555,30.91154952797631,0.30397496689115117,1.1576250000000001,43.547023638864175,2.6782998756019945,2.6623476757954605,116.29191649726596,1.6867357665938443,0.17103393581163148,0.17958563260221305,0.17958563260221305,0.15513282159785166
15,1.0,11.24826789424552,1.999887883905295,0.5690466402166448,61.858604297357914,9.587452484174298,0.48866838803323276,30.74545576847144,0.3998712168252536,1.2155062500000002,41.46307408732118,2.6705070525595516,2.6359877978172874,114.44298562991611,1.3636299312368887,0.17103393581163148,0.18856491423232372,0.18856491423232372,0.16288946267774426
