Time;jh;jd;jy;W;Elec_Price;H2_Price;Elec_GC_Price;H2_GC_Price;EP_Price;Gen_VRES_01_g;Gen_Conv_01_g;Cons_Elec_01_d;Demand_GC_Elec_01_d_gc;Prod_H2_Green_e_in;Prod_H2_Green_q_elec_gc;Prod_H2_Green_h2_out;Prod_H2_Green_q_h2gc;Offtaker_Green_h2_in;Offtaker_Green_q_h2gc;Offtaker_Green_ep;Offtaker_Grey_ep;Offtaker_Grey_q_h2gc;Offtaker_Import_ep;Gen_VRES_01_obj;Gen_Conv_01_obj;Cons_Elec_01_obj;Demand_GC_Elec_01_obj;Prod_H2_Green_obj;Offtaker_Green_obj;Offtaker_Grey_obj;Offtaker_Import_obj
14;14;1;1;50.24005694;58.12284237;68.00339283;16.73526216;48.86053967;126.1951056;73.03979913;0;32.8;6.626780367;39.98757607;66.48383464;26.65838405;26.65838405;26.9507612;5.994691073;20.2130709;15.51831227;20.69108303;0;-274693.5862;0;-714645.255;-535.3653891;20165.73291;-14250.69654;30368.79085;0
15;15;1;1;50.24005694;60.1965459;70.33174887;16.81873907;49.27554945;128.0580976;48.69319942;8.948983502;32;6.476485218;25.70025106;42.28057505;17.1335007;17.1335007;17.62084051;0.133885264;13.21563038;22.68083755;16.9397326;0;-188406.2739;-88.36653277;-694202.5639;-508.2874087;13076.53596;-17782.83359;9964.285149;0
16;16;1;1;50.24005694;60.38997955;70.76650221;16.90221597;49.25760239;128.3250306;24.34659971;36.76245251;34;6.326190066;27.1871311;18.07731545;18.12475407;18.12475407;18.69637737;0.169982441;14.02228303;21.85173329;17.89600943;0;-94541.84692;-720.2718382;-736405.7271;-481.9026432;-8724.494087;-18578.96195;13191.20533;0
17;17;1;1;50.24005694;59.99101302;69.35415974;16.95786733;49.34182936;127.4395478;8.115533237;46.1836551;38;6.225991694;16.2637779;1.941810373;10.8425186;10.8425186;10.92893612;0.050431618;8.196702092;27.77939822;10.69643691;0;-31373.97085;20.85220495;-821894.2487;-464.6978988;-12350.33431;-11392.00947;-11779.9048;0
18;18;1;1;50.24005694;93.50686942;118.4864942;20.61102415;49.50514324;192.3824083;0;50;39.2;0;11.57676564;6.68E-12;7.717843758;7.717843758;8.077870691;0.58843423;6.058403018;30;7.216001621;0;0;-84169.35137;-781251.5103;0;-9589.448613;-6876.469246;-121291.7086;0
19;19;1;1;50.24005694;82.17185288;101.5995355;20.61102415;49.49733409;169.871786;0;50;38;0;12.53890137;6.68E-12;8.359267579;8.359267579;8.358721935;0.546169689;6.269041451;30;7.899525544;0;0;-55695.75755;-779548.3157;0;-10431.67471;-7273.442364;-85666.73892;0
20;20;1;1;50.24005694;63.21291364;73.42985396;20.61102415;49.47203505;132.3568607;0;50;36;0;14.10588805;6.68E-12;9.403925367;9.403925367;8.800040174;0.461379394;6.600030131;30;9.027178939;0;0;-8070.848212;-773713.7128;0;-11850.32984;-7955.413302;-26331.46234;0
21;21;1;1;50.24005694;59.83074564;68.77710543;20.61102415;49.38932363;127.0953001;0;48.31556149;34;0;14.28236321;6.68E-12;9.521575473;9.521575473;9.52749052;0.086372727;7.14561789;28.84451008;9.386359921;0;0;410.8440703;-737360.9892;0;-12160.17402;-9978.479871;-15974.56407;0
22;22;1;1;50.24005694;59.99858994;69.34758747;20.61102415;49.34550686;127.4291617;0;47.10360571;30;0;17.01969318;6.68E-12;11.34646212;11.34646212;11.24202109;0.136673601;8.431515821;27.59808106;11.13199029;0;0;3.336883305;-651866.864;0;-14647.47455;-11507.44046;-10433.78087;0
23;23;1;1;50.24005694;59.96114472;69.23089739;20.61102415;49.35389908;127.3574575;0;40.73913233;26;0;14.64637478;6.68E-12;9.764249854;9.764249854;9.616938712;0.157244688;7.212704034;28.82733971;9.536312242;0;0;79.52651171;-566306.4361;0;-12579.37847;-9774.342931;-15975.76181;0
24;24;1;1;50.24005694;60.02292524;69.41707525;20.61102415;49.34001635;127.4720205;0;39.33567342;24;0;15.26363327;6.68E-12;10.17575552;10.17575552;10.1373004;0.104684279;7.602975301;28.40834323;9.98185471;0;0;-45.30547126;-523272.7907;0;-13150.23163;-10403.65711;-14465.60517;0
25;1;2;1;25.87661147;59.77904981;68.6667775;20.61720397;49.39420109;127.0130299;0;36.51622886;20;0;16.38438567;1.30E-11;10.92292378;10.92292378;10.58300439;0.252109009;7.937253294;28.14893509;10.63519862;0;0;208.7794242;-225240.8686;0;-7177.118636;-5522.593815;-6082.837973;0
