AgentID,Group,Type,YearIndex,Capacity_MW,Investment_MW
Gen_VRES_01,power,VRES,1,156.0376593351439,56.0376593351439
Prod_H2_Green,H2,GreenProducer,1,40.00000000001244,1.2441603303159354e-11
Offtaker_Green,offtaker,GreenOfftaker,1,30.00000000001889,1.8889778630182263e-11
