period,time_step,SOLAR,LOAD_E,WIND
204,1,0.0,0.321433,0.057424
204,2,0.0,0.329827,0.085975
204,3,0.0,0.340036,0.103251
204,4,0.0,0.35353,0.136935
204,5,0.0,0.369634,0.13941
204,6,0.0,0.387426,0.115967
204,7,0.0,0.403637,0.115967
204,8,0.031,0.41509,0.097258
204,9,0.13,0.415684,0.070742
204,10,0.262,0.406728,0.198495
204,11,0.348,0.393831,0.221377
204,12,0.336,0.379286,0.260781
204,13,0.473,0.364505,0.149606
204,14,0.501,0.358181,0.260781
204,15,0.681,0.362652,0.23521
204,16,0.556,0.385456,0.25702
204,17,0.431,0.422139,0.504922
204,18,0.209,0.463671,0.604807
204,19,0.237,0.494328,0.578704
204,20,0.13,0.508657,0.553363
204,21,0.078,0.498492,0.416688
204,22,0.03,0.470515,0.453903
204,23,0.003,0.429612,0.376715
204,24,0.0,0.390681,0.396365
223,1,0.0,0.321077,0.504922
223,2,0.0,0.329106,0.638525
223,3,0.0,0.339306,0.793832
223,4,0.0,0.353217,0.834189
223,5,0.0,0.37023,0.817886
223,6,0.0,0.38805,0.7625
223,7,0.0,0.403265,0.680612
223,8,0.009,0.413131,0.572297
223,9,0.07,0.415191,0.470508
223,10,0.235,0.404512,0.381565
223,11,0.319,0.389549,0.645415
223,12,0.372,0.372155,0.850707
223,13,0.41,0.357518,0.401383
223,14,0.492,0.348886,0.604807
223,15,0.377,0.355518,0.559627
223,16,0.441,0.373389,0.53485
223,17,0.316,0.405283,0.540974
223,18,0.191,0.444838,0.421875
223,19,0.116,0.47942,0.39139
223,20,0.048,0.494816,0.411544
223,21,0.024,0.485068,0.416688
223,22,0.017,0.455718,0.39139
223,23,0.0,0.415112,0.481799
223,24,0.0,0.376141,0.464928
259,1,0.0,0.379935,0.060225
259,2,0.0,0.388879,0.052086
259,3,0.0,0.399449,0.045892
259,4,0.0,0.416821,0.041307
259,5,0.0,0.438467,0.041307
259,6,0.0,0.46124,0.037037
259,7,0.0,0.481119,0.041307
259,8,0.0,0.497154,0.054712
259,9,0.015,0.50279,0.075601
259,10,0.117,0.492767,0.06917
259,11,0.253,0.470279,0.037037
259,12,0.392,0.444521,0.041307
259,13,0.487,0.422864,0.028528
259,14,0.57,0.410694,0.019361
259,15,0.598,0.41304,0.030292
259,16,0.548,0.433295,0.072338
259,17,0.422,0.468426,0.122699
