AgentID,Slot,Role,Unit,Existing_MW,Capacity_MW,Investment_MW
GreenH2_Coalition,H2,Electrolyzer,MW_H2,533.3333333333334,998.7828588800705,465.44952554673716
GreenH2_Coalition,EP,EP plant,MW_EP,400.0,749.0871441610897,349.08714416108967
