Agent,Type,CVaR_private,alpha_private
Gen_VRES_Solar,VRES,1.1142136739755597e9,6.770586533101571e8
Gen_VRES_Wind,VRES,3.4030473916637605e8,-9.82842380191049e7
GreenH2_Coalition,GreenH2Coalition,1.7813101155368724e8,6.918056787450953e7
