iter,elec_rho,elec_price_mean,elec_imb_mean,H2_rho,H2_price_mean,H2_imb_mean,elec_GC_rho,elec_GC_price_mean,elec_GC_imb_mean,H2_GC_rho,H2_GC_price_mean,H2_GC_imb_mean,EP_rho,EP_price_mean,EP_imb_mean,cap_rho_Gen_VRES_Solar,cap_rho_Gen_VRES_Wind,cap_rho_GreenH2_Coalition
1,1.0,492.9337995653923,-415.9337995653923,0.5,128.0,0.0,0.3,8.184951498543189,-17.283171661810627,1.0,25.016059551411995,-0.016059551411996227,3.0,5418.913966673468,-1772.9713222244886,0.1,0.1,0.1
2,1.0,-127.6210595171374,620.5548590825297,0.5,128.0,0.0,0.3,38.71913761708267,-101.78062039513159,1.0,904.2160595522838,-879.2000000008721,3.0,5396.068844564844,7.615040702873802,0.1,0.1,0.1
3,0.9523809523809523,912.0583513984951,-1284.3098605428404,0.5,128.0,0.0,0.315,171.36713647361793,-495.4173626761353,1.05,1630.4241497862088,-691.6267526037374,2.9702970297029703,5188.939029960359,69.7337042501763,0.1,0.1,0.1
4,1.0,-873.8122059577846,2471.79315897063,0.5,128.0,0.0,0.33075000000000004,243.20802769442346,-248.09368397475242,1.1025,2367.5289311975826,-668.5757654524932,2.9408881482207625,4984.807960583745,69.41136795702828,0.1,0.1,0.1
5,1.05,975.7815282835192,-2868.337622038795,0.5,128.0,0.0,0.3472875000000001,455.2145778003684,-820.3233070915778,1.1576250000000001,3016.4818544382283,-560.5899347721806,2.9702970297029703,4457.341554754369,208.91806662261547,0.1,0.1,0.1
6,1.1025,-427.7006980858787,2012.4927158720611,0.5,128.0,0.0,0.3646518750000001,504.2108168411995,-175.2959946387772,1.2155062500000002,3648.1996636124336,-611.4303587973214,2.9408881482207625,4088.848417745486,143.1181606939888,0.1,0.1,0.1
7,1.1576250000000001,823.0045137791503,-1658.2722601671962,0.5,128.0,0.0,0.38288446875000015,669.1200273321133,-661.067696907103,1.2762815625000004,4235.911266558003,-525.9707815476592,2.9408881482207625,3532.6056797505375,254.16208867925164,0.1,0.1,0.1
8,1.2155062500000002,-278.40619182343386,1636.220934538853,0.5,128.0,0.0,0.4020286921875002,733.258718999283,-237.73580570972626,1.3400956406250004,4788.043796899256,-553.6463803871194,2.9408881482207625,3042.0359497885315,217.62557874105607,0.1,0.1,0.1
9,1.2762815625000004,506.9751562065775,-1078.8143402011679,0.5,128.0,0.0,0.4221301267968752,884.2105178608247,-626.9090908334915,1.4071004226562505,5298.2130074386305,-473.01711008907637,2.9702970297029703,2508.9959654634954,275.44105934774166,0.1,0.1,0.1
10,1.3400956406250004,-41.01648759764396,696.0068918074844,0.5,128.0,0.0,0.443236633136719,962.7993751513801,-301.787137043867,1.477455443789063,5691.9907919204015,-337.58822728547136,2.9702970297029703,2543.291055872561,-20.84884107689493,0.1,0.1,0.1
