Agent,Type,CVaR_private,alpha_private
Gen_VRES_Solar,VRES,8.629026896169722e8,2.5396997140843529e8
Gen_VRES_Wind,VRES,-8.434746899714693e6,-8.744783988890297e8
GreenH2_Coalition,GreenH2Coalition,4.272274703705901e7,-2.915332204981947e8
