iter,elec_primal,elec_dual,H2_primal,H2_dual,elec_GC_primal,elec_GC_dual,H2_GC_primal,H2_GC_dual,EP_primal,EP_dual,cap_primal,cap_dual,cap_primal_Gen_VRES_Solar,cap_dual_Gen_VRES_Solar,cap_primal_Gen_VRES_Wind,cap_dual_Gen_VRES_Wind,cap_primal_GreenH2_Coalition,cap_dual_GreenH2_Coalition
1,22321.63587848337,Inf,0.0,Inf,934.3669518830745,Inf,1.4927610640506352,Inf,95147.62559237929,Inf,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
2,33437.2991889838,42145.926687097446,0.0,0.0,5748.560956092679,3038.5578221936466,47182.823179725754,35167.35762956693,408.7129109625115,198385.23251486,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
3,69765.65981541979,30812.52739048779,0.0,0.0,26592.580142261766,4767.613620524339,37116.87333613951,7878.960693399507,3748.3132043172227,8226.130448634845,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
4,135262.04491831764,59366.60176029004,0.0,0.0,14758.541570488853,3544.879643023857,35871.91191548286,1028.0998918810626,3753.988352652841,981.9632878603021,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
5,154996.9827608835,81763.79357284213,0.0,0.0,44127.811959057806,4400.883720542916,30068.828597846095,5009.227676204917,11260.184767085082,18635.4075404402,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
6,107991.28596674567,70482.26862863895,0.0,0.0,14528.535297231962,6095.773172037791,32788.762336493826,2464.7897313796348,7728.399661641847,8802.268808827068,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
7,91104.64123914609,56534.63929142935,0.0,0.0,35393.21717279327,3987.1319593540193,28232.78764380035,4335.018565492724,13637.83254470246,14524.18577216757,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
8,94509.68225810507,55596.77877904707,0.0,0.0,16010.42610481401,4732.0628240383785,29677.930079658043,1445.3135500817232,11752.10433675529,5387.082498716596,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
9,69063.43692478389,49058.08021275239,0.0,0.0,33716.565555745525,3554.056340671747,25274.993681675365,2970.715564690258,14637.435537696168,14488.423285064473,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
10,53326.856750469924,36650.01600136839,0.0,0.0,17851.676283157,4282.118847939243,18088.779123466476,9756.041864522798,2526.252033630592,34796.41539107768,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
11,47445.898475111644,35929.355372184364,0.0,0.0,26986.633545683162,2814.158288085602,8128.138802374493,6736.500726670278,11559.7755371205,37358.69970481927,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
12,45807.226727124595,34792.179545360574,0.0,0.0,19645.53127612928,4165.565655736584,3195.598612483832,4477.171913450882,18158.265020719395,19861.596196352988,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
13,48716.373984839316,37846.40850213091,0.0,0.0,27807.412797992452,3379.8285205533207,1324.396260281512,3578.6280457675207,13800.548242555009,8496.548526303968,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
14,35391.42253335287,32846.51190195869,0.0,0.0,20696.719522882468,4558.987379043312,3854.4464954077844,4315.82602890041,7075.699286077246,14422.193519951988,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
15,25658.661666450764,28825.930888534334,0.0,0.0,25168.91073479302,3009.3688148846245,5503.729816159499,5490.224420070023,2172.205327771459,13668.814566856237,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
16,21417.753701929843,23403.466593094883,0.0,0.0,19717.56449531322,3680.981180606544,6660.4150887274,2118.6909631746844,4967.806085415835,6705.726224394315,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
17,19222.23810861886,25188.01830857593,0.0,0.0,20649.95546451672,2623.3825393122233,5296.914952712229,847.7986500433943,5474.4849663116765,4976.531394368731,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
18,11602.954286513217,19866.69118527155,0.0,0.0,15714.795346527315,3639.3935173228274,3192.240331430409,2203.594339156617,2175.9501656378316,9283.714913884993,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
19,6654.258145775498,20003.48253191374,0.0,0.0,14751.08890862025,3040.605429373987,1704.2371897461073,2038.1180289233923,785.0773703924847,10612.773284769766,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
20,3365.877821991702,18174.708357504027,0.0,0.0,11915.236392736537,3650.238735420448,2951.333180742344,1453.716422449941,2724.472137307171,7610.913297806994,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
21,2697.4172103821325,17946.44878087625,0.0,0.0,9976.33967799901,3641.468143862451,4110.698880663464,652.223252372696,2822.131415930049,4119.070146779943,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
22,2822.805652976688,17142.801457886704,0.0,0.0,7846.749633291641,3868.961520328959,4539.104340744601,1259.6227721167595,1684.991989482699,1947.7869691491662,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
23,2500.9263818693094,16607.44888102202,0.0,0.0,5845.871117838274,3918.2603020695096,4564.814215465594,1767.860178950489,1037.6223091384416,2406.950528883996,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
24,3241.847998447529,15834.983949402813,0.0,0.0,4423.818201130202,3947.7683689493033,4521.846484380175,1748.2760170858182,2504.0694325031645,2320.943787659174,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
25,2844.380857893696,15237.304084984984,0.0,0.0,4187.886500440333,3830.054431443677,4604.470732434093,1470.1385568255391,3884.0304964708075,1751.5995836216646,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
