period,time_step,SOLAR,LOAD_E,WIND
306,8,0.0,0.736977,0.015844
306,9,0.0,0.743439,0.012685
306,10,0.002941,0.732688,0.009013
306,11,0.070595,0.706534,0.007273
306,12,0.144132,0.672367,0.00166
306,13,0.236788,0.638931,0.0
306,14,0.279439,0.621273,1.0e-6
306,15,0.28238,0.626089,0.013893
306,16,0.263261,0.655704,0.047591
306,17,0.132366,0.705565,0.073981
306,18,0.077949,0.763373,0.0924
306,19,0.02059,0.811976,0.108672
306,20,0.0,0.833309,0.149743
306,21,0.0,0.818929,0.135073
306,22,0.0,0.776455,0.085956
306,23,0.0,0.721104,0.056586
306,24,0.0,0.668072,0.035969
309,1,0.0,0.578895,0.337261
309,2,0.0,0.590327,0.452692
309,3,0.0,0.608106,0.48517
309,4,0.0,0.632239,0.459068
309,5,0.0,0.661084,0.505383
309,6,0.0,0.692762,0.478554
309,7,0.0,0.72184,0.446375
309,8,0.0,0.744202,0.465503
309,9,0.0,0.754858,0.452692
309,10,0.001471,0.746038,0.433919
309,11,0.063241,0.725513,0.342504
309,12,0.227963,0.693888,0.211293
309,13,0.314736,0.665322,0.118774
309,14,0.350034,0.650247,0.219023
309,15,0.395627,0.652902,0.146728
309,16,0.289734,0.67984,0.101483
309,17,0.189724,0.727258,0.043475
309,18,0.117658,0.782993,0.039603
309,19,0.027944,0.831919,0.081831
309,20,0.0,0.853652,0.08807
309,21,0.0,0.837276,0.146728
309,22,0.0,0.789353,0.14082
309,23,0.0,0.730296,0.159035
309,24,0.0,0.674041,0.168703
